,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
67,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,1.8475437266225063,0.040762408059682446,12.0,wilcoxon,BO_9_1.0_ET_LCB
68,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.4855947725199763,0.014626409612569197,12.0,t-test,BO_9_1.0_ET_LCB
69,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.385261676908161,0.012581867053607676,18.0,wilcoxon,BO_9_1.0_ET_LCB
70,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.913597676902553,0.004426093529868514,18.0,t-test,BO_9_1.0_ET_LCB
71,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.5231380744173033,0.007466719879923394,24.0,wilcoxon,BO_9_1.0_ET_LCB
72,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.8161798152125894,0.0058767027637997935,24.0,t-test,BO_9_1.0_ET_LCB
73,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,2.399049316659075,0.020569567173669003,24.0,wilcoxon,BO_9_1.0_ET_LCB
74,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,2.553494646865975,0.012206424061312353,24.0,t-test,BO_9_1.0_ET_LCB
75,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,2.5989700930473316,0.002155144271329713,30.0,wilcoxon,BO_9_1.0_ET_LCB
76,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_EI,3.332860737785967,0.001213793127127401,30.0,t-test,BO_9_1.0_ET_LCB
77,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,3.005705465699301,0.00043347552751037827,30.0,wilcoxon,BO_9_1.0_ET_LCB
78,spark_pagerank_bigdata,BO_9_1.0_ET_LCB,BO_3_0.01_ET_PI,3.5805685844219384,0.0005354908001443633,30.0,t-test,BO_9_1.0_ET_LCB
