,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
61,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-1.7510302483661067,0.03855144358746994,12.0,wilcoxon,BO_3_0.05_GBRT_EI
62,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-1.3891047049046081,0.009391661870945646,12.0,wilcoxon,BO_3_1.0_GBRT_LCB
63,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.4128369564099894,0.001995864729974689,18.0,wilcoxon,BO_3_0.05_GBRT_EI
64,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.763745177685367,0.00682659328371866,18.0,t-test,BO_3_0.05_GBRT_EI
65,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-1.795840077556578,0.005936617721486051,18.0,wilcoxon,BO_3_0.01_GBRT_PI
66,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-2.070639561625315,0.041021489281520704,18.0,t-test,BO_3_0.01_GBRT_PI
67,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.299088928464947,0.002527846709528292,24.0,wilcoxon,BO_3_0.05_GBRT_EI
68,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-3.3148611706273576,0.0012861946274998963,24.0,t-test,BO_3_0.05_GBRT_EI
69,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-1.9440572048789058,0.007357928529864447,24.0,wilcoxon,BO_3_0.01_GBRT_PI
70,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-2.548148132374451,0.012383013096041017,24.0,t-test,BO_3_0.01_GBRT_PI
71,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.137084161391705,0.0039019170181963203,30.0,wilcoxon,BO_3_1.0_GBRT_LCB
72,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-3.1905997471735126,0.0019076936782681242,30.0,t-test,BO_3_0.05_GBRT_EI
73,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-1.4649367235346364,0.014572635526313774,30.0,wilcoxon,BO_3_1.0_GBRT_LCB
74,spark1.5_naive-bayes_huge,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-2.2444789285806213,0.027050531458012558,30.0,t-test,BO_3_0.01_GBRT_PI
