,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
42,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-1.7923931676188494,0.018994492476532645,12.0,wilcoxon,BO_3_0.05_GBRT_EI
43,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.165609467480892,0.03276760505560147,12.0,t-test,BO_3_0.05_GBRT_EI
44,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-1.6028131210437788,0.03465382582577161,12.0,wilcoxon,BO_3_0.01_GBRT_PI
45,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.3749209470949753,0.0019591347730096935,18.0,wilcoxon,BO_3_0.05_GBRT_EI
46,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-3.040022235156695,0.003033913600888284,18.0,t-test,BO_3_0.05_GBRT_EI
47,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-2.619651552673703,0.0027777000850636867,18.0,wilcoxon,BO_3_0.01_GBRT_PI
48,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-2.767167147610971,0.006760566774117727,18.0,t-test,BO_3_0.01_GBRT_PI
49,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.62654537254916,0.0013330972763320574,24.0,wilcoxon,BO_3_0.05_GBRT_EI
50,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-3.1826744968355616,0.0019555904577309422,24.0,t-test,BO_3_0.05_GBRT_EI
51,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-2.3645802172817896,0.016282942431904902,24.0,wilcoxon,BO_3_1.0_GBRT_LCB
52,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-2.53963922016517,0.012668793535068872,24.0,t-test,BO_3_0.01_GBRT_PI
53,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.440412235911818,0.009704851767720726,30.0,wilcoxon,BO_3_0.05_GBRT_EI
54,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.05_GBRT_EI,-2.788120966979953,0.006368816957190317,30.0,t-test,BO_3_0.05_GBRT_EI
55,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-1.8992473756884345,0.04192087050140389,30.0,wilcoxon,BO_3_0.01_GBRT_PI
56,spark_lr_bigdata,BO_3_1.0_GBRT_LCB,BO_3_0.01_GBRT_PI,-2.1071492312489406,0.037657702953831446,30.0,t-test,BO_3_0.01_GBRT_PI
