,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
1,hadoop_terasort_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,1.5890254812928646,0.0013743938272718062,6.0,wilcoxon,BO_3_1.0_GP_LCB
2,hadoop_terasort_huge,BO_3_0.01_GP_PI,BO_3_0.01_GP_EI,-1.5717909316042218,0.013092025704799885,12.0,wilcoxon,BO_3_0.01_GP_EI
3,hadoop_terasort_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-2.274960558900847,0.015074907310598039,18.0,wilcoxon,BO_3_1.0_GP_LCB
4,hadoop_terasort_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,-2.69893048124146,0.0008515359294717735,18.0,wilcoxon,BO_3_1.0_GP_LCB
5,hadoop_terasort_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,-2.7666890351051685,0.006769756743562009,18.0,t-test,BO_3_0.01_GP_PI
6,hadoop_terasort_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_1.0_GP_LCB,2.3576863974063325,0.00047095621615718473,18.0,wilcoxon,BO_3_0.01_1.0_GP_GP_HEDGE
7,hadoop_terasort_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_1.0_GP_LCB,2.151611956649481,0.03388525899524662,18.0,t-test,BO_3_0.01_1.0_GP_GP_HEDGE
8,hadoop_terasort_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-1.3787639750914225,0.03537922971753454,24.0,wilcoxon,BO_3_1.0_GP_LCB
9,hadoop_terasort_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,-1.3856577949668796,0.006584138620030935,24.0,wilcoxon,BO_3_1.0_GP_LCB
10,hadoop_terasort_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,-2.006936795285732,0.04751085282128071,24.0,t-test,BO_3_0.01_GP_PI
11,hadoop_terasort_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_1.0_GP_LCB,1.0444137111317526,0.013875778942790054,24.0,wilcoxon,BO_3_0.01_1.0_GP_GP_HEDGE
12,hadoop_terasort_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-0.8686213043075962,0.039359508888249725,30.0,wilcoxon,BO_3_1.0_GP_LCB
13,hadoop_terasort_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_1.0_GP_LCB,0.8444929347434963,0.03389485352468927,30.0,wilcoxon,BO_3_0.01_1.0_GP_GP_HEDGE
