,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
49,spark1.5_naive-bayes_huge,BO_3_0.01_GP_PI,BO_3_0.01_GP_EI,-1.771711707992478,0.04902540979571306,18.0,wilcoxon,BO_3_0.01_GP_EI
50,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-2.557607173794589,0.0003239688411343182,18.0,wilcoxon,BO_3_0.01_GP_EI
51,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-3.4505569994326772,0.0008267699093784591,18.0,t-test,BO_3_0.01_GP_EI
52,spark1.5_naive-bayes_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_0.01_GP_EI,-2.1818939905821764,0.0023333172501533396,18.0,wilcoxon,BO_3_0.01_GP_EI
53,spark1.5_naive-bayes_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_0.01_GP_EI,-2.4003898421474514,0.018265636286404055,18.0,t-test,BO_3_0.01_GP_EI
54,spark1.5_naive-bayes_huge,BO_3_0.01_GP_PI,BO_3_0.01_GP_EI,-2.185340900519905,0.010356455469654118,24.0,wilcoxon,BO_3_0.01_GP_PI
55,spark1.5_naive-bayes_huge,BO_3_0.01_GP_PI,BO_3_0.01_GP_EI,-2.1951549063853175,0.03051327303074024,24.0,t-test,BO_3_0.01_GP_EI
56,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-4.0570129967065105,5.3424742752756254e-06,24.0,wilcoxon,BO_3_0.01_GP_EI
57,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-5.852952401005603,6.41878643378345e-08,24.0,t-test,BO_3_0.01_GP_EI
58,spark1.5_naive-bayes_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_0.01_GP_EI,-3.243542251402572,0.00024286214714055548,24.0,wilcoxon,BO_3_0.01_GP_EI
59,spark1.5_naive-bayes_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_0.01_GP_EI,-3.3967410441964456,0.000986534588582524,24.0,t-test,BO_3_0.01_GP_EI
60,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,-2.2577260092122042,0.0014164042776029096,24.0,wilcoxon,BO_3_0.01_GP_PI
61,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,-3.478966554063151,0.0007525898398101559,24.0,t-test,BO_3_0.01_GP_PI
62,spark1.5_naive-bayes_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_1.0_GP_LCB,1.561450201791036,0.011537409354018254,24.0,wilcoxon,BO_3_0.01_1.0_GP_GP_HEDGE
63,spark1.5_naive-bayes_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_1.0_GP_LCB,2.250988457698779,0.026620283917171868,24.0,t-test,BO_3_0.01_1.0_GP_GP_HEDGE
64,spark1.5_naive-bayes_huge,BO_3_0.01_GP_PI,BO_3_0.01_GP_EI,-1.3511886955895942,0.03970865203644299,30.0,wilcoxon,BO_3_0.01_GP_PI
65,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-3.6744059936186413,2.683730121648683e-05,30.0,wilcoxon,BO_3_0.01_GP_EI
66,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_EI,-5.221507051778886,9.964921330264112e-07,30.0,t-test,BO_3_0.01_GP_EI
67,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,-2.757527950182845,0.000742048854022638,30.0,wilcoxon,BO_3_0.01_GP_PI
68,spark1.5_naive-bayes_huge,BO_3_1.0_GP_LCB,BO_3_0.01_GP_PI,-3.6681570039330427,0.0003972904198927409,30.0,t-test,BO_3_0.01_GP_PI
69,spark1.5_naive-bayes_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_1.0_GP_LCB,2.69893048124146,0.00030912376303129913,30.0,wilcoxon,BO_3_0.01_1.0_GP_GP_HEDGE
70,spark1.5_naive-bayes_huge,BO_3_0.01_1.0_GP_GP_HEDGE,BO_3_1.0_GP_LCB,3.819491538710289,0.00023462080030975938,30.0,t-test,BO_3_0.01_1.0_GP_GP_HEDGE
