,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
0,hadoop_pagerank_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,3.1125596737688865,0.002463818717465663,12.0,wilcoxon,BO_6_0.01_RF_PI
1,hadoop_pagerank_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,3.3320355540660427,0.00121702699170053,12.0,t-test,BO_6_0.01_RF_PI
2,hadoop_pagerank_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,3.2814582607175855,0.005181123605771777,12.0,wilcoxon,BO_6_1.0_RF_LCB
3,hadoop_pagerank_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.9299625324568686,0.004217531768994119,12.0,t-test,BO_6_1.0_RF_LCB
4,hadoop_pagerank_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,4.842908462508622,1.241307949086362e-06,18.0,wilcoxon,BO_6_0.01_RF_PI
5,hadoop_pagerank_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,4.9736537597797055,2.8020747011059527e-06,18.0,t-test,BO_6_0.01_RF_PI
6,hadoop_pagerank_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,5.3806264127942764,4.704668491686881e-06,18.0,wilcoxon,BO_6_1.0_RF_LCB
7,hadoop_pagerank_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,6.347371238963168,6.831014980431005e-09,18.0,t-test,BO_6_1.0_RF_LCB
8,hadoop_pagerank_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,5.20483400597012,1.7486441088166844e-06,24.0,wilcoxon,BO_6_0.01_RF_PI
9,hadoop_pagerank_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,7.116852241615323,1.840903310454313e-10,24.0,t-test,BO_6_0.01_RF_PI
10,hadoop_pagerank_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,5.087639068087349,3.919014786424894e-06,24.0,wilcoxon,BO_6_1.0_RF_LCB
11,hadoop_pagerank_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,6.6655298058277275,1.5587820221807047e-09,24.0,t-test,BO_6_1.0_RF_LCB
12,hadoop_pagerank_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,3.8398576706296117,3.501953276665673e-05,30.0,wilcoxon,BO_6_0.01_RF_PI
13,hadoop_pagerank_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,5.4701701098464,3.4442508866415434e-07,30.0,t-test,BO_6_0.01_RF_PI
14,hadoop_pagerank_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,3.96394642838784,2.2942298569652652e-05,30.0,wilcoxon,BO_6_1.0_RF_LCB
15,hadoop_pagerank_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,5.711442475837078,1.2016685424153274e-07,30.0,t-test,BO_6_1.0_RF_LCB
