,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
38,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.368027127219518,0.009962870906086645,18.0,wilcoxon,BO_6_1.0_RF_LCB
39,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.4113814997477547,0.017754833815797014,18.0,t-test,BO_6_1.0_RF_LCB
40,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,1.6131538508569645,0.03130720050101412,18.0,wilcoxon,BO_6_1.0_RF_LCB
41,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,1.716561148988821,0.012107874635051991,24.0,wilcoxon,BO_6_1.0_RF_LCB
42,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.473469482053231,0.015101186922810275,24.0,t-test,BO_6_1.0_RF_LCB
43,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,1.1926308384540805,0.015811851188103795,24.0,wilcoxon,BO_6_1.0_RF_LCB
44,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,2.413344546670278,0.0176649569945451,24.0,t-test,BO_6_1.0_RF_LCB
45,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,1.2064184782049947,0.01674764760318694,30.0,wilcoxon,BO_6_1.0_RF_LCB
46,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.804077218208118,0.006084534922212305,30.0,t-test,BO_6_1.0_RF_LCB
47,hadoop_wordcount_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,2.058573372109819,0.042188616477299844,30.0,t-test,BO_6_1.0_RF_LCB
