,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
126,spark1.5_naive-bayes_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.636065947501555,0.0097523905230807,12.0,t-test,BO_3_0.01_RF_EI
127,spark1.5_naive-bayes_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,-2.0329831447155686,0.04475857016125471,12.0,t-test,BO_3_0.01_RF_EI
128,spark1.5_naive-bayes_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,1.6441760402965213,0.023096414045790915,24.0,wilcoxon,BO_6_0.01_RF_PI
129,spark1.5_naive-bayes_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,2.3447980643945576,0.021054366413487312,24.0,t-test,BO_6_0.01_RF_PI
130,spark1.5_naive-bayes_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.5748417234832317,0.0034890582541433715,24.0,wilcoxon,BO_6_1.0_RF_LCB
131,spark1.5_naive-bayes_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.6993654142453503,0.00818358172751018,24.0,t-test,BO_6_1.0_RF_LCB
132,spark1.5_naive-bayes_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,1.3305072359632228,0.026884400875440556,30.0,wilcoxon,BO_6_0.01_RF_PI
133,spark1.5_naive-bayes_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.440412235911818,0.0008260278732658056,30.0,wilcoxon,BO_6_1.0_RF_LCB
134,spark1.5_naive-bayes_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.4179159805193553,0.017457224340397773,30.0,t-test,BO_6_1.0_RF_LCB
135,spark1.5_naive-bayes_bigdata,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,1.2064184782049947,0.0081509715935027,30.0,wilcoxon,BO_6_1.0_RF_LCB
136,spark1.5_naive-bayes_bigdata,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,2.2723205892244343,0.0252521122855428,30.0,t-test,BO_6_1.0_RF_LCB
