,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
137,spark1.5_regression_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.0095484936957484,0.0388861168538276,12.0,wilcoxon,BO_3_0.01_RF_EI
138,spark1.5_regression_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-3.0643029346406867,0.00038355263675264963,18.0,wilcoxon,BO_3_0.01_RF_EI
139,spark1.5_regression_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.8734450577845108,0.004978652635627066,18.0,t-test,BO_3_0.01_RF_EI
140,spark1.5_regression_bigdata,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,3.133241133395258,0.002209678681504904,18.0,wilcoxon,BO_6_1.0_RF_LCB
141,spark1.5_regression_bigdata,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,2.992895469991598,0.0034970290067291568,18.0,t-test,BO_6_1.0_RF_LCB
142,spark1.5_regression_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-3.636489984303627,0.0003217117433298843,24.0,wilcoxon,BO_3_0.01_RF_EI
143,spark1.5_regression_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.9437846155634952,0.004048467777719987,24.0,t-test,BO_3_0.01_RF_EI
144,spark1.5_regression_bigdata,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,3.822623120940969,0.000337761820014881,24.0,wilcoxon,BO_6_1.0_RF_LCB
145,spark1.5_regression_bigdata,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,3.1317396178919945,0.0022911733757634513,24.0,t-test,BO_6_1.0_RF_LCB
146,spark1.5_regression_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-4.067353726519697,0.0004192673248447957,30.0,wilcoxon,BO_3_0.01_RF_EI
147,spark1.5_regression_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.708980829436351,0.00796644484643143,30.0,t-test,BO_3_0.01_RF_EI
148,spark1.5_regression_bigdata,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,4.015650077453768,0.0006292208349973599,30.0,wilcoxon,BO_6_1.0_RF_LCB
149,spark1.5_regression_bigdata,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,2.659642515211636,0.009138757629713988,30.0,t-test,BO_6_1.0_RF_LCB
