,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
66,spark_join_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,3.0091523756370298,0.00517775501214093,18.0,wilcoxon,BO_6_0.01_RF_PI
67,spark_join_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,2.8563096659270966,0.0052331975632701234,18.0,t-test,BO_6_0.01_RF_PI
68,spark_join_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.850594518501516,0.0026660121628833476,18.0,wilcoxon,BO_6_1.0_RF_LCB
69,spark_join_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,3.1561426337235843,0.002124217519327865,18.0,t-test,BO_6_1.0_RF_LCB
70,spark_join_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,3.2745644408421284,0.0008702323916631518,24.0,wilcoxon,BO_6_0.01_RF_PI
71,spark_join_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,4.218380047021758,5.494405984400453e-05,24.0,t-test,BO_6_0.01_RF_PI
72,spark_join_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,3.302139720343957,0.0009033229481873422,24.0,wilcoxon,BO_6_1.0_RF_LCB
73,spark_join_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,3.6674464635047923,0.0003982611846475448,24.0,t-test,BO_6_1.0_RF_LCB
74,spark_join_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,3.419334658226728,0.0004891675271218187,30.0,wilcoxon,BO_6_0.01_RF_PI
75,spark_join_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,4.949187129350792,3.0987189119994847e-06,30.0,t-test,BO_6_0.01_RF_PI
76,spark_join_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,3.791600931501412,3.372937995452779e-05,30.0,wilcoxon,BO_6_1.0_RF_LCB
77,spark_join_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,5.603122928425027,1.932947176094662e-07,30.0,t-test,BO_6_1.0_RF_LCB
