,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
92,spark_lr_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.2784074688385756,0.011503972860298261,12.0,wilcoxon,BO_3_0.01_RF_EI
93,spark_lr_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.4090742842022457,0.01786098810705554,12.0,t-test,BO_3_0.01_RF_EI
94,spark_lr_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,-2.2853012887140327,0.008928618727055094,12.0,wilcoxon,BO_3_0.01_RF_EI
95,spark_lr_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,-2.4665955620451427,0.015376420403252255,12.0,t-test,BO_3_0.01_RF_EI
96,spark_lr_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.5782886334209603,0.0036467187753600303,18.0,wilcoxon,BO_3_0.01_RF_EI
97,spark_lr_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.988917391193886,0.0035389710425475095,18.0,t-test,BO_3_0.01_RF_EI
98,spark_lr_bigdata,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,-1.5269811024137505,0.029016407323147635,18.0,wilcoxon,BO_3_0.01_RF_EI
99,spark_lr_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.485222065102289,0.015339780736560078,24.0,wilcoxon,BO_3_0.01_RF_EI
100,spark_lr_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.792767529101258,0.006284804505740198,24.0,t-test,BO_3_0.01_RF_EI
101,spark_lr_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.354239487468604,0.030308320163881314,30.0,wilcoxon,BO_3_0.01_RF_EI
102,spark_lr_bigdata,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.4881145190835716,0.01452943960220046,30.0,t-test,BO_3_0.01_RF_EI
