,benchmark,algorithm,best algo,statistic,pvalue,budget,test-name,better
78,spark_lr_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-1.6958796893624497,0.028272266219139287,18.0,wilcoxon,BO_3_0.01_RF_EI
79,spark_lr_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,2.299088928464947,0.027171657119772492,18.0,wilcoxon,BO_6_1.0_RF_LCB
80,spark_lr_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,2.4726791331202445,0.015132606976802025,18.0,t-test,BO_6_1.0_RF_LCB
81,spark_lr_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-2.2646198290876614,0.022019508180714135,24.0,wilcoxon,BO_3_0.01_RF_EI
82,spark_lr_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.3507925775308753,0.0005636312920728175,24.0,wilcoxon,BO_6_1.0_RF_LCB
83,spark_lr_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,2.4741998963271827,0.01507220143307228,24.0,t-test,BO_6_1.0_RF_LCB
84,spark_lr_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,4.529239658175323,5.738422998601544e-06,24.0,wilcoxon,BO_6_1.0_RF_LCB
85,spark_lr_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,3.5340162779918725,0.0006263560591195193,24.0,t-test,BO_6_1.0_RF_LCB
86,spark_lr_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-3.2125200619630148,0.0005503827076552155,30.0,wilcoxon,BO_3_0.01_RF_EI
87,spark_lr_huge,BO_6_0.01_RF_PI,BO_3_0.01_RF_EI,-3.661095705328267,0.00040703829840563346,30.0,t-test,BO_3_0.01_RF_EI
88,spark_lr_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,1.895800465750706,0.0024854679099452423,30.0,wilcoxon,BO_6_1.0_RF_LCB
89,spark_lr_huge,BO_6_1.0_RF_LCB,BO_3_0.01_RF_EI,3.4994611404641933,0.0007030225111691657,30.0,t-test,BO_6_1.0_RF_LCB
90,spark_lr_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,4.825673912819979,2.8001198986938518e-06,30.0,wilcoxon,BO_6_1.0_RF_LCB
91,spark_lr_huge,BO_6_1.0_RF_LCB,BO_6_0.01_RF_PI,5.134971961665339,1.4338887269077166e-06,30.0,t-test,BO_6_1.0_RF_LCB
