,Algorithms,Threshold,Violations
0,BO_3_1.0_ET_LCB,1.5,61.5
1,BO_3_1.0_ET_LCB,2.0,26.0
2,BO_3_1.0_ET_LCB,2.5,10.0
3,BO_3_1.0_GBRT_LCB,1.5,60.0
4,BO_3_1.0_GBRT_LCB,2.0,24.5
5,BO_3_1.0_GBRT_LCB,2.5,9.0
6,BO_3_1.0_GP_LCB,1.5,49.5
7,BO_3_1.0_GP_LCB,2.0,17.5
8,BO_3_1.0_GP_LCB,2.5,4.0
9,BO_3_1.0_RF_LCB,1.5,62.0
10,BO_3_1.0_RF_LCB,2.0,24.0
11,BO_3_1.0_RF_LCB,2.5,10.0
12,HC_3_50,1.5,89.0
13,HC_3_50,2.0,44.5
14,HC_3_50,2.5,23.5
15,LHS,1.5,92.0
16,LHS,2.0,49.0
17,LHS,2.5,26.0
18,RANDOM,1.5,94.0
19,RANDOM,2.0,50.0
20,RANDOM,2.5,27.0
21,SA_3_0.5_50,1.5,76.5
22,SA_3_0.5_50,2.0,37.5
23,SA_3_0.5_50,2.5,19.0
24,TPE_3_0.1,1.5,73.0
25,TPE_3_0.1,2.0,33.0
26,TPE_3_0.1,2.5,15.0
