,Algorithms,Threshold,Violations
0,BO_3_0.01_ET_PI,1.5,51.5
1,BO_3_0.01_ET_PI,2.0,12.0
2,BO_3_0.01_ET_PI,2.5,8.0
3,BO_3_0.01_GBRT_PI,1.5,51.0
4,BO_3_0.01_GBRT_PI,2.0,24.0
5,BO_3_0.01_GBRT_PI,2.5,18.0
6,BO_3_0.01_GP_PI,1.5,49.5
7,BO_3_0.01_GP_PI,2.0,15.5
8,BO_3_0.01_GP_PI,2.5,9.0
9,BO_3_0.01_RF_PI,1.5,44.0
10,BO_3_0.01_RF_PI,2.0,10.0
11,BO_3_0.01_RF_PI,2.5,5.0
12,HC_3_50,1.5,81.5
13,HC_3_50,2.0,36.0
14,HC_3_50,2.5,17.5
15,LHS,1.5,86.0
16,LHS,2.0,46.0
17,LHS,2.5,28.0
18,RANDOM,1.5,86.0
19,RANDOM,2.0,45.0
20,RANDOM,2.5,27.0
21,SA_3_0.5_50,1.5,69.5
22,SA_3_0.5_50,2.0,30.0
23,SA_3_0.5_50,2.5,17.0
24,TPE_3_0.1,1.5,86.0
25,TPE_3_0.1,2.0,48.5
26,TPE_3_0.1,2.5,28.5
