,Algorithms,Threshold,Violations
0,BO_3_1.0_ET_LCB,1.5,212.5
1,BO_3_1.0_ET_LCB,2.0,114.0
2,BO_3_1.0_ET_LCB,2.5,85.0
3,BO_3_1.0_GBRT_LCB,1.5,212.0
4,BO_3_1.0_GBRT_LCB,2.0,110.5
5,BO_3_1.0_GBRT_LCB,2.5,85.0
6,BO_3_1.0_GP_LCB,1.5,194.5
7,BO_3_1.0_GP_LCB,2.0,112.0
8,BO_3_1.0_GP_LCB,2.5,88.0
9,BO_3_1.0_RF_LCB,1.5,210.0
10,BO_3_1.0_RF_LCB,2.0,109.0
11,BO_3_1.0_RF_LCB,2.5,84.0
12,HC_3_50,1.5,309.5
13,HC_3_50,2.0,179.5
14,HC_3_50,2.5,136.0
15,LHS,1.5,299.5
16,LHS,2.0,170.0
17,LHS,2.5,129.5
18,RANDOM,1.5,294.5
19,RANDOM,2.0,166.5
20,RANDOM,2.5,129.0
21,SA_3_0.5_50,1.5,254.5
22,SA_3_0.5_50,2.0,137.5
23,SA_3_0.5_50,2.5,106.5
24,TPE_3_0.1,1.5,238.5
25,TPE_3_0.1,2.0,133.0
26,TPE_3_0.1,2.5,101.5
