,Algorithms,Threshold,Violations
0,BO_3_0.01_ET_PI,1.5,254.0
1,BO_3_0.01_ET_PI,2.0,171.0
2,BO_3_0.01_ET_PI,2.5,125.5
3,BO_3_0.01_GBRT_PI,1.5,258.0
4,BO_3_0.01_GBRT_PI,2.0,175.0
5,BO_3_0.01_GBRT_PI,2.5,136.5
6,BO_3_0.01_GP_PI,1.5,256.0
7,BO_3_0.01_GP_PI,2.0,171.5
8,BO_3_0.01_GP_PI,2.5,128.0
9,BO_3_0.01_RF_PI,1.5,241.0
10,BO_3_0.01_RF_PI,2.0,154.5
11,BO_3_0.01_RF_PI,2.5,113.5
12,HC_3_50,1.5,289.5
13,HC_3_50,2.0,176.5
14,HC_3_50,2.5,119.5
15,LHS,1.5,325.5
16,LHS,2.0,234.0
17,LHS,2.5,179.0
18,RANDOM,1.5,321.5
19,RANDOM,2.0,233.0
20,RANDOM,2.5,178.0
21,SA_3_0.5_50,1.5,270.5
22,SA_3_0.5_50,2.0,186.5
23,SA_3_0.5_50,2.5,138.5
24,TPE_3_0.1,1.5,262.0
25,TPE_3_0.1,2.0,182.0
26,TPE_3_0.1,2.5,140.0
